     device   stage   mode                                model   backend a_dtype b_dtype  bs  tokens  group_size     latency
NVIDIA-L40S prefill cgraph      Qwen/Qwen2.5-Coder-32B-Instruct   bitblas float16  uint2b   1    2048         128 1367.239990
NVIDIA-L40S prefill cgraph      Qwen/Qwen2.5-Coder-32B-Instruct     mutis float16  uint2b   1    2048         128 1081.579712
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct   bitblas float16  uint4b   1    2048         128   58.987776
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct     mutis float16  uint4b   1    2048         128   59.603584
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct   bitblas float16  uint2b   1    2048         128   44.209583
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct     mutis float16  uint2b   1    2048         128   42.643826
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct   bitblas float16  uint4b  16    2048         128  399.246643
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct     mutis float16  uint4b  16    2048         128   60.706320
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct   bitblas float16  uint2b  16    2048         128  371.112808
NVIDIA-L40S  decode cgraph meta-llama/Meta-Llama-3-70B-Instruct     mutis float16  uint2b  16    2048         128   40.412863
NVIDIA-L40S prefill cgraph meta-llama/Meta-Llama-3-70B-Instruct   bitblas float16  uint4b   1    2048         128 3095.979370
NVIDIA-L40S prefill cgraph meta-llama/Meta-Llama-3-70B-Instruct     mutis float16  uint4b   1    2048         128 2315.656494
NVIDIA-L40S prefill cgraph meta-llama/Meta-Llama-3-70B-Instruct   bitblas float16  uint2b   1    2048         128 2814.191772
NVIDIA-L40S prefill cgraph meta-llama/Meta-Llama-3-70B-Instruct     mutis float16  uint2b   1    2048         128 2291.803955
